,importances
loan_rate,0.20301391705296254
loan_limit,0.13899459996940458
yearly_income,0.10082494407882835
age,0.09509542224888619
company_month,0.09044358690323472
desired_amount,0.08959020592030396
existing_loan_amt,0.08171216919251331
existing_loan_cnt,0.05046503068437136
credit_score_cut,0.04767771639017426
onehotencoding_x2_RENT,0.009571162122952562
onehotencoding_x2_FAMILY_ETC,0.008897496245403147
onehotencoding_x0_EARNEDINCOME,0.008110610340416076
onehotencoding_x4_1.0,0.007986558799861185
onehotencoding_x4_0.0,0.007961797303573343
onehotencoding_x3_LIVING,0.00720943342942414
onehotencoding_x2_OWN,0.006747651564335707
onehotencoding_x1_PERMANENT,0.005627516988775869
onehotencoding_x3_SWITCHLOAN,0.0055134510695673475
onehotencoding_x1_ETC,0.004472643402065856
onehotencoding_x1_CONTRACT,0.00427395398058553
onehotencoding_x3_BUSINESS,0.0026315878933845303
onehotencoding_x0_EARNEDINCOME2,0.00260535424393776
onehotencoding_x0_PRIVATEBUSINESS,0.0025904317057658306
onehotencoding_x3_ETC,0.002541606746878201
onehotencoding_x0_FREELANCER,0.0018729252815174262
onehotencoding_x0_OTHERINCOME,0.0018656767262774012
onehotencoding_x1_DAYJOB,0.0017852764304233982
onehotencoding_x3_HOUSEDEPOSIT,0.0016283600392739163
onehotencoding_x3_INVEST,0.0012823104216617553
onehotencoding_x5_2,0.0012808948167185243
onehotencoding_x0_PRACTITIONER,0.0012625953943644953
onehotencoding_x4_2.0,0.0010712626774832764
onehotencoding_x5_1,0.0010186952763065684
onehotencoding_x3_BUYHOUSE,0.0009585687419892375
onehotencoding_x5_0,0.000582112353780067
onehotencoding_x3_BUYCAR,0.0005530329550426552
onehotencoding_x2_SPOUSE,0.00027944060755503286
